,alpha_0,alpha_25,alpha_2100,alpha_2700,alpha_60,alpha_240,alpha_300,alpha_540,alpha_600,alpha_900,alpha_1200,alpha_1500,control_0,control_25,control_2100,control_2700,control_60,control_240,control_300,control_540,control_600,control_900,control_1200,control_1500,NaCl+alpha_0,NaCl+alpha_25,NaCl+alpha_2100,NaCl+alpha_2700,NaCl+alpha_60,NaCl+alpha_240,NaCl+alpha_300,NaCl+alpha_540,NaCl+alpha_600,NaCl+alpha_900,NaCl+alpha_1200,NaCl+alpha_1500,NaCl_0,NaCl_25,NaCl_2100,NaCl_2700,NaCl_60,NaCl_240,NaCl_300,NaCl_540,NaCl_600,NaCl_900,NaCl_1200,NaCl_1500
Adenine,0.0,0.294071483702,-0.129726876558,0.08639983093,0.117219230127,0.198634594732,0.313701676009,0.166048872536,0.179324700785,0.194831521434,0.376716779895,0.145410749273,0.0,-0.257179036896,-0.0885721288793,-0.379730403438,-0.250141894022,-0.212390767041,-0.262166946617,-0.0738114705555,-0.139460606695,-0.24990426145,-0.255337592254,-0.345992857128,0.0,0.094855626031,0.13641727058,0.146577894963,0.531798390817,0.757617816499,0.451127704841,0.457632710963,0.430987380706,-0.022949962845,-0.343747957273,0.134584164665,0.0,0.0165187720007,-0.285126663432,-0.00821759444678,0.138609446166,0.00524650268058,0.16515690333,0.0957381149669,0.22192521601,0.0712475910304,0.14141608329,0.322652893541
Alpha ketoglutarate,0.0,0.546332726782,0.140975883455,0.538762310536,0.298455944426,0.609635487801,0.442908232853,0.660040756464,0.331693418242,0.7249884957,0.438059035849,0.637125904233,0.0,-0.130034620753,0.105805145677,0.0475389857146,-0.090888002651,-0.00214295478724,-0.216115682404,0.163958069714,0.123301672689,0.150545695844,0.127102503523,0.122211284315,0.0,-0.531298142121,-0.680015421161,-0.344930225711,-0.762171996645,-1.05274591687,-1.4776062452,-1.42914376676,-1.4475722808,-0.130393676866,3.51103487623,-0.721089626679,0.0,-0.0932289178963,0.13058251701,0.276663909869,0.684172245283,-0.0378687167739,0.21840759797,-0.326492868997,-0.0796364483955,-0.21738499663,0.311176611307,0.199390755175
Asparagine,0.0,0.444532094375,1.04995040045,1.2172652887,0.75998644199,0.993201743505,0.927851014234,1.10859519692,1.18111872045,1.15915394571,1.44189842939,1.47397371365,0.0,0.232219846821,0.76588786015,0.0912443584679,0.287702724441,0.432763242209,0.393731295645,0.573496297887,0.486255250984,0.594502200242,0.374724794303,0.596993387985,0.0,1.36363936575,1.78916058701,2.32669310997,2.46254447796,2.54759622034,2.49708286627,2.50153722594,2.19790008606,1.37910454079,0.463619935185,2.1621602225,0.0,0.819498694983,0.931755247207,0.97357363777,0.92511797387,0.579247925764,0.951214997382,0.583231643865,0.728037720082,1.003048865,0.838918888852,1.0442597775
Aspartate,0.0,0.322581920849,0.156791949604,0.41335555467,0.308065838372,0.581435466214,0.571917302666,0.605627514317,0.583381313189,0.535299637591,0.894702625732,0.501648209343,0.0,0.0349680114542,0.229422184629,-0.297204727714,0.0268093719979,0.226361021531,0.073818184512,0.255041000481,0.148927836666,0.116702804177,-0.0294536827777,0.0414033959099,0.0,2.97910841073,3.13164670998,3.23419305309,4.75048393376,4.81122901818,4.71541913426,4.65668691475,4.5298180542,3.19354877044,5.50886404628,3.36132332826,0.0,0.322890661279,0.340301803961,0.266773540938,0.401358371751,0.385344587539,0.594507815274,0.262374337754,0.444176166126,0.615855472318,0.651469036568,0.805015734442
Citrate_isocitrate,0.0,-0.0913184600773,-0.21323751369,0.829971314475,0.382366540933,-0.315971165703,-0.0241392549689,-0.336283864795,0.301780077643,0.176016171586,0.0369902672885,0.0936417892034,0.0,-0.371250342462,-0.386736998163,-0.496398298398,-0.0369134782409,-0.104998159695,-0.234744623322,-0.146849279344,0.144690246766,0.537089768492,-0.448997409256,-0.24198293686,0.0,-1.96214386613,-1.9577646424,-1.62547251533,-3.30991317132,-3.79601139112,-3.54195587719,-4.13689855886,-3.36556841392,-0.445118340605,3.4163268437,-1.54021465575,0.0,0.121584532663,-0.111920282687,0.252512241643,0.24732236847,-0.678932909695,-0.465392959938,-0.868189117682,-0.420591691018,-0.418541596543,0.548284227172,0.231370757743
Citrulline,0.0,0.917646968337,3.16240685409,3.41619392309,1.24810793573,1.39049434151,1.67723787762,1.85343994838,1.83341783531,2.41796599275,3.24645434995,3.2102251766,0.0,0.658746043693,2.46849596348,2.12348806585,0.848110779919,0.884573719587,1.09237449394,1.21311581806,1.5218461294,1.96424878266,1.53600055161,1.95087013219,0.0,2.30289223866,4.25253565464,5.28911979932,3.45270993393,2.98819128686,3.28277604453,3.61837536774,2.82681211219,2.4269512991,1.16386451878,4.50660885608,0.0,2.11214937074,3.71742204124,3.36285888658,1.55214156881,2.35546593922,2.53448680338,1.24021325897,2.11532604789,3.63240737281,2.88077721284,2.93406256549
DHAP,0.0,0.604101718176,1.14101073388,1.52257851706,0.897619991986,1.31212861981,1.04949521483,1.19358559375,1.53398579513,1.03359893706,1.57494189267,1.52572716152,0.0,0.537055003978,0.85597611368,-0.204120328347,0.64191996632,0.391584526994,0.448833188302,0.915561822159,0.574423908844,0.63097664001,0.297709911098,0.284490886137,0.0,-1.57855449891,-0.652618756023,0.0485119742137,-1.69652737061,-2.10238286248,-2.32536166586,-2.1572968685,-3.0031861863,-1.54417604073,-0.17014533474,-0.617121053036,0.0,0.679739216917,1.83027611877,1.56921018328,0.763125233361,-0.46605325089,0.608677554622,-0.589174864009,0.0272364388085,0.622672677791,0.485997384556,1.41841944172
Disaccharides,0.0,1.11985096193,0.489011302771,1.21064931622,1.64029441136,1.82815388563,1.67454570761,1.72001367933,2.19302435653,1.04683614406,1.70128308243,1.07733273414,0.0,0.756856582924,0.0466990372474,-1.04039956845,0.957480635957,0.365197361281,0.49208503069,1.28687658497,0.667605980919,0.747414466991,0.139805487787,-0.518690410268,0.0,0.239605262414,3.78528773207,4.48081682635,-0.0579673598071,0.450591699047,0.293145703972,1.42909658777,1.04774855876,2.52098637064,3.53298821641,3.94784006006,0.0,0.631312257644,4.45148238775,3.88514651803,0.645143152518,-0.587822428523,2.06495775996,0.451518843187,2.33347313315,3.18512922367,4.12816408124,4.40370948764
FBP,0.0,0.884473837469,0.563963175183,1.4510170086,1.2807492422,1.64190017554,1.46157226,1.57301610298,1.81638203486,1.16987043757,1.48018832928,0.986565277885,0.0,0.964354413741,0.539225586797,-1.35650914419,1.05481221934,0.577138172414,0.754532911019,1.4411552815,0.930101841739,1.05204867431,0.818211587168,-0.100155940508,0.0,-1.01186421555,-0.091941932216,0.670857624791,-1.25511762538,-1.98756926801,-1.58575564237,-1.51568050478,-2.45554996223,-1.14960689761,-0.985526530902,-0.0986909111211,0.0,0.181814557832,2.13199460856,2.05060148468,0.778520586533,-2.59368965729,0.12290863568,-2.06441834644,-0.35041109001,0.283234544704,0.117314654979,1.42105029272
Fumarate,0.0,0.347094039119,0.724321036886,0.364439231201,0.479436761932,0.249220084248,0.740245270073,0.142491305363,0.847091865303,1.03364409762,0.696677787232,1.1960943143,0.0,-0.202975283238,-0.233662423718,-0.711667284382,-0.611560570798,-0.453632555275,-0.215925033835,-0.312602051723,-0.178073338504,0.504066606652,-0.391250854568,-0.310824979328,0.0,-1.78337988703,-1.60877902536,-1.11924124359,-2.08703110245,-2.29821887844,-4.04473131553,-4.37435034792,-3.33840459874,-1.92929601789,2.48717050021,-1.48890391208,0.0,-0.552379579105,0.674369027042,1.04199776684,-0.1962173635,-1.28069126287,-0.679934035397,-1.55770177321,-1.66038529635,-1.21254387665,-0.65786626631,0.263649663115
G6P,0.0,0.869504192561,1.10627958185,1.48807716239,1.44895517496,2.04570519274,1.5368335172,1.71027949081,2.44433973144,1.07057170652,1.9872780371,1.59758094114,0.0,1.07240095704,1.28121870333,0.430217524088,1.20601164623,0.688677193583,0.910306233248,1.68936824923,1.18631708224,1.18255453232,0.987744463184,0.332988633138,0.0,0.171235349045,1.16565937315,1.95380807609,0.449718017285,0.341458443903,0.430057682329,0.971442580198,-0.0486356167894,1.11764866115,-0.646755952505,1.65537860506,0.0,0.485918901452,2.0849984673,1.46901758708,0.566205228643,-1.0232103744,1.37864912471,-0.288924994782,0.937185729742,1.0948260709,1.45848344519,1.7635938113
GAP,0.0,0.589914151406,1.13889679727,1.48188187565,0.911918208999,1.28795173538,1.03148447593,1.16699868889,1.51579354436,1.00786180507,1.57836008762,1.50478178233,0.0,0.58666847622,0.894185641395,-0.154083733878,0.68443353698,0.434931678468,0.479187658492,0.951404106596,0.616629461583,0.649094979638,0.326865747671,0.308109718775,0.0,-1.54730852986,-0.599246562485,0.0814172471657,-1.71529133193,-2.08287154142,-2.2583250579,-2.13630322365,-2.9802253975,-1.53236070028,-0.27964289305,-0.620239690893,0.0,0.719388710097,1.81271947677,1.52013220156,0.79956204552,-0.406589109215,0.645838449799,-0.576952512337,0.0246426115851,0.626812534387,0.512811595283,1.413717215
GTTox,0.0,2.1297808507,2.21492979214,3.9061953226,3.19945105849,3.53776415244,3.06399701278,3.43782055277,3.85133205992,2.53151721737,3.71985493792,3.35687834532,0.0,1.59665647325,1.21120944973,-1.14667710669,2.01242029004,1.28496957106,1.35528848348,2.73511820877,1.78995007792,2.02321425882,1.32024876959,-0.403231466076,0.0,-0.926576831881,1.97607436519,3.85136399958,-0.0162340551919,0.324263833465,-0.46793910265,1.4969841284,-0.3150395797,1.70510816836,5.2200399552,2.39452735869,0.0,-0.140233749996,4.3890931639,4.57972114315,1.89332556495,-1.47584336335,2.54980635482,-1.2741187376,1.57351659079,2.7554707144,2.47678930428,3.98005587052
GTTred,0.0,0.76995453652,0.808707481124,1.4959857032,1.19370670579,1.45406649753,1.28715104554,1.32232014255,1.56389019622,0.973912235711,1.57639688381,1.20566683697,0.0,0.885964596516,0.702413628376,-0.319179712539,1.11380093917,0.740587508404,0.679618932142,1.38846367938,0.96183613406,1.05495257262,0.677906860837,-0.0211851822696,0.0,-0.377573683717,0.614550580743,1.500564241,-0.531314326317,-0.360147981555,-0.67675986406,0.0677142413345,-0.651089996365,0.417952138287,0.660982152396,0.910384648505,0.0,0.412834120291,1.84555056957,1.89421033012,0.734178827307,-0.969440734422,1.12876971954,-0.437758585608,0.698130085855,1.33561757674,1.08164422779,1.65289531175
Glutamate,0.0,0.485016802138,0.937910120904,1.13817054843,0.679387023741,1.00917632657,0.982336623839,1.09562190589,1.11568900779,1.05706463745,1.41280324997,1.34878216468,0.0,0.164899522647,0.688254292048,0.0456207875655,0.268555994068,0.352409834049,0.197597369917,0.67350425448,0.506466343227,0.467534060282,0.309136217036,0.508112884962,0.0,-0.68326275578,-0.163833392784,0.281263369158,-0.644329053379,-0.564838348142,-0.518357423313,-0.71866723295,-0.883170989871,-0.493936434575,-0.0212463401185,-0.0186320246433,0.0,0.625539102405,1.1356005938,1.08384634584,0.839046339428,0.540214878182,0.958727733151,0.396480648007,0.622377204545,0.947239680712,0.692646972248,1.16723385968
Glutamine,0.0,0.441946917103,1.15395595034,1.29583682453,0.710603236948,1.02347348276,0.992507140134,1.22313342347,1.20473718802,1.20817492461,1.56019936384,1.55196449746,0.0,0.197162373386,0.670481438433,0.108223418185,0.329291012788,0.444890108467,0.386952593719,0.606155292132,0.525361179338,0.516818664425,0.358003473518,0.634345666523,0.0,0.614035859093,1.45784571653,2.13844519577,1.26202336222,1.58804853177,1.65896181699,1.43874164872,1.30177262865,0.971944621908,-0.881252991786,1.62389746768,0.0,1.00609429527,1.79252333487,1.9951460199,1.20176866802,1.10138299478,1.40098446409,1.0951340828,1.1488058352,1.49365599349,1.17678918234,1.66242399265
GlycerolP,0.0,0.476830032071,0.971428147677,1.40905125099,0.827969321699,1.0522846116,1.129383485,1.12923120015,1.59934918989,1.45943306314,1.46783435877,1.5391134828,0.0,0.097857093018,0.696274580721,-0.107648523792,0.288152045559,0.256438687914,0.325379161915,0.539584488528,0.531940261938,0.519306749734,0.291966300241,0.37887870565,0.0,0.280691954532,0.610177295444,1.01994256263,-0.255412069329,-0.867710568264,-0.412800980174,-0.814876181361,-1.64720057463,-0.482643337668,-1.39401268099,0.46648737822,0.0,1.9878733905,2.55902351412,1.90774466373,2.04662178836,1.38075933302,1.56711052748,1.14553242678,1.31185687175,1.99342118234,1.7190114439,2.25127868951
Guanine,0.0,0.0531958270659,0.219992311914,0.221493679185,0.0612011151668,0.362779881651,0.497060376799,0.291303544965,0.509371128558,0.370645425822,0.670334812208,0.399012607875,0.0,0.000675010686311,0.551498074888,0.321880465443,0.0193521399851,0.244070526702,0.336329258086,0.398995940898,0.263351128873,0.0712088519701,0.26944479965,0.389600523869,0.0,0.505354219804,-0.26322304425,-0.158343541195,0.709962581647,1.01173978042,0.839512204797,0.580085078458,0.938652834053,-0.50480707712,0.400725302375,0.108046112395,0.0,0.588594274484,-0.137172952559,0.702373877834,0.644146246783,0.274101720335,0.384243360644,0.159088053445,0.350574105671,0.452563332008,0.345444496703,0.0963792882217
Hexoses,0.0,0.415278514804,0.153011957633,0.383742338238,0.238737165899,0.589842892354,0.561710778095,0.490858035417,0.46452116992,0.396508235181,0.531808939463,0.332624898272,0.0,-0.178017069739,0.0791629139029,-0.32383937071,-0.160065219914,0.00188496287662,-0.119896356467,0.181253692794,-0.108224642272,-0.249583537017,-0.127226826868,-0.113104603058,0.0,-0.548851729966,-0.538297397782,-0.529270303066,-0.365493639855,-0.187916642285,-0.464765076619,-0.558139005732,-0.496242696446,-0.702932542206,0.522868563657,-0.547096916011,0.0,-0.0132321169876,-0.0954159802196,-0.041469856572,0.0647225006415,0.16810071889,0.435080032832,0.205027501746,0.447118398865,0.350944005192,0.0861189203951,0.317682130707
Malate,0.0,0.293136564358,0.799392297585,0.849579506259,0.620736753945,0.573047186518,0.652097337595,0.565703199864,0.705535419705,0.711885738276,0.889309399677,0.911359133256,0.0,-0.184168442131,0.179166018879,-0.201937900474,-0.0722543608848,0.0541670203197,-0.0649724514705,0.0397805054156,0.14975132721,0.0551212986951,-0.0228981825489,0.118639354604,0.0,-1.24672650429,-0.840911762685,-0.23858208566,-1.63673301428,-2.06545028477,-2.33579262301,-3.2114630793,-3.41266715835,-2.56127139197,0.959531960661,-1.34064609555,0.0,0.247329709221,1.60752839328,1.88516719702,0.38137802627,0.0737017320549,-0.028709813138,-0.950710977511,-0.810024497233,-0.4714394989,0.189072767448,0.888351298439
PEP,0.0,1.10069495968,0.804633720975,0.623313667693,1.19889019719,2.03836184365,1.36583825776,1.74452925515,2.22425856575,0.732683821169,2.01681378092,1.37242977075,0.0,1.32573839222,0.914401693758,-0.995051848021,1.51196259557,1.05565903107,1.40363306764,2.1145630628,1.37393273609,0.829032225003,0.740537276881,-0.237513677908,0.0,-0.48337708455,0.706159738858,1.68133849594,-1.23511542046,-2.01275639011,-1.38086379078,-0.890234017862,-1.99480014514,-0.441788620092,1.84013241085,1.22225711949,0.0,0.20550366948,3.56547939805,3.45047833051,1.40375223545,-0.977600959773,0.442722264253,-1.60447189174,0.775537926743,0.98485471883,0.199090252685,2.03211823987
Panthothenate,0.0,0.39280950222,0.202392758412,0.477527065554,0.299945659781,0.802567909889,0.57840935624,0.568688841906,0.60122750846,0.511971737737,0.67202102112,0.389877394527,0.0,-0.196107690945,-0.173730778637,-0.555308929507,-0.164292236786,-0.00613498409979,-0.172877968835,0.122308275426,-0.0952547460997,-0.180788999109,-0.438349307844,-0.455257710535,0.0,0.606468164991,0.473210687676,0.61012873838,0.999551691018,1.21760399772,1.21913847643,1.36924044774,0.941875751327,1.09921685379,5.39286194907,1.07189602492,0.0,0.0785864602833,-0.242008830722,-0.217529294142,0.366335921572,0.263180867901,0.611686891868,0.312431793627,0.397346797509,0.632267966594,0.698342352295,0.449072505651
Phenylalanine,0.0,0.3013904538,0.0641963119592,0.277326055333,0.23643581992,0.362848146077,0.404873241968,0.338066646857,0.416027665699,0.355800440152,0.510143515278,0.313185927397,0.0,-0.206436938651,0.0144928881554,-0.342202581788,-0.256639389385,-0.148840449684,-0.201783293059,-0.0281793565763,-0.137096336117,-0.170717163257,-0.212497698706,-0.167680007377,0.0,1.62981403431,1.80310394141,1.80648581984,3.04840631937,2.97794958415,2.89735453711,2.83614038598,2.91881010441,1.6649132722,-0.450932581885,1.75953197068,0.0,0.205829382315,-0.0100047501953,0.0665206368127,0.276438132124,0.331538597981,0.517661625236,0.347346663184,0.489729543203,0.37358019715,0.392750807467,0.351364222587
Succinate,0.0,0.0173494923338,0.00021640601986,0.0227034991438,-0.0664423683279,0.00619504073169,-0.0153708136826,0.0659493370554,0.270730417046,0.146905647813,0.32379844914,0.227153901435,0.0,-0.187985478596,0.259362530167,0.0647369097621,-0.0467563854356,-0.0262919646427,-0.126616429285,-0.105098238306,0.0223851331022,0.0547816077064,-0.0946977705616,0.138119968239,0.0,-2.35576787514,-2.41303059627,-2.11836489847,-3.94523669272,-3.82651929255,-3.86645682043,-4.20453428925,-4.1507843036,-2.65209669838,-0.485622234585,-2.51975056834,0.0,-0.294017632163,0.142337797432,0.626240646918,-0.176204048075,-0.0876092279484,-0.344632994023,-0.5696427078,-0.245815456558,-0.999747407719,-0.0645323593876,-0.00273705906203
Tyrosine,0.0,0.398568269665,0.141302630289,0.100892592432,0.222412759766,0.39156453426,0.438135205296,0.347522826396,0.384576746768,0.195658979746,0.54314171466,0.0862430603765,0.0,-0.229962593356,-0.0490191678434,-0.492057062832,-0.284089063795,-0.224462142466,-0.222667754729,-0.0944044183856,-0.0625393441422,-0.254675520078,-0.1843210133,-0.375908935853,0.0,-0.892482806209,-0.849262267452,-0.661628936914,-0.645941095351,-0.822690861505,-0.984856687876,-0.996053997375,-0.87455883865,-0.820717488081,-0.85391518794,-0.831627262689,0.0,0.194298331137,0.132208257423,0.271628739182,0.3979207113,0.515654807842,0.640882379411,0.451609868469,0.614224961991,0.537827419717,0.552035686436,0.553787599071
UDP-hexose,0.0,0.981167983304,0.637538221698,1.41328830978,1.52457682298,1.78123505979,1.1797533392,1.47372673926,2.21193734849,1.19359283559,1.2753263335,1.39305190671,0.0,1.17372531264,0.798840200301,-0.872345062129,1.34420534708,0.694780653217,0.10958255994,1.36673966094,0.922590184335,0.634365828985,0.964062418492,-0.126230326507,0.0,1.93205082273,3.74985962941,4.99653344422,3.02208607135,3.45869625875,3.82378483829,4.60103308068,4.58199570518,3.93569486674,4.93692324686,4.74048025427,0.0,-0.162094734762,2.09279949448,1.47571359929,-0.0585035463971,-1.43320744398,1.26826054477,-0.292761180461,1.30873649036,1.9994677669,1.61823352336,2.75177203678
